customer_state,total_orders,avg_delivery_days,total_revenue
SP,40494,8.7,5066562.98
RJ,12350,15.1,1759651.13
MG,11354,11.9,1552481.83
RS,5344,15.1,728718.47
PR,4923,11.9,666063.51
SC,3546,14.9,507012.13
BA,3256,19.2,493584.14
DF,2080,12.9,296498.41
GO,1957,15.3,282836.7
ES,1995,15.6,268643.45
PE,1593,18.2,251889.49
CE,1279,20.9,219757.38
PA,946,23.7,174470.59
MT,886,17.9,152191.62
MA,717,21.6,117009.38
MS,701,15.5,115429.97
PB,517,20.5,112586.82
PI,476,19.3,84721
RN,474,19.3,82105.66
AL,397,24.4,78855.72
SE,335,21.4,56574.19
TO,274,17.4,48402.51
RO,243,19.7,45682.76
AM,145,26.3,22155.84
AC,80,20.7,15930.97
AP,67,28.2,13374.81
RR,41,28.2,7057.47
